제목	본문	TEXT	감성점수	lama 3.1 감성 분석
"""난 왜 50만원 더 나가지""…똑같이 4억 빌렸는데 원리금 다른 이유[부릿지]"	변동형에서 혼합형까지 주택담보대출(주담대) 금리를 결정하는 방식만 알아서는 부족하다. 실제로 주담대를 받으려면 차주는 금리를 결정하는 방식뿐 아니라 원리금을 어떻게 갚아나가야 할지도 결정해야 한다. 각 방식에 따라	"""난 왜 50만원 더 나가지""…똑같이 4억 빌렸는데 원리금 다른 이유[부릿지] 변동형에서 혼합형까지 주택담보대출(주담대) 금리를 결정하는 방식만 알아서는 부족하다. 실제로 주담대를 받으려면 차주는 금리를 결정하는 방식뿐 아니라 원리금을 어떻게 갚아나가야 할지도 결정해야 한다. 각 방식에 따라"	-1	긍정
"전세대출도 DSR 적용 '검토설'에 ""전세 수요자 '비명'"""	전세대출을 총부채원리금상환비율(DSR) 규제에 포함하는 방안을 검토하는 것으로 알려지면서 대출 규제 영향을 직접적으로 받는 수요자의 불안이 커지고 있다. 부동산 업계에서는 전세대출에 DSR를 적용하면 월세로 전환한	"전세대출도 DSR 적용 '검토설'에 ""전세 수요자 '비명'"" 전세대출을 총부채원리금상환비율(DSR) 규제에 포함하는 방안을 검토하는 것으로 알려지면서 대출 규제 영향을 직접적으로 받는 수요자의 불안이 커지고 있다. 부동산 업계에서는 전세대출에 DSR를 적용하면 월세로 전환한"	-1	긍정
[단독]전세사기 빌라로 돈 벌라는 HUG…新빌라왕 양산 중심에	주택도시보증공사(HUG)가 4조원이 넘는 정부 혈세를 지원 받아 전세사기 사태를 수습하면서도 이 자금을 회수하지 않아, 전세사기 사태의 원인인 빌라왕의 등장을 조장하고 있는 것으로 나타났다. 특히 법원 경매에서 전세	[단독]전세사기 빌라로 돈 벌라는 HUG…新빌라왕 양산 중심에 주택도시보증공사(HUG)가 4조원이 넘는 정부 혈세를 지원 받아 전세사기 사태를 수습하면서도 이 자금을 회수하지 않아, 전세사기 사태의 원인인 빌라왕의 등장을 조장하고 있는 것으로 나타났다. 특히 법원 경매에서 전세	-3	중립
"""'입주장 세일' 공식 깨졌다""…전세가 13억 찍은 매머드 단지"	단군 이래 최대 재건축 규모의 아파트라는 서울 강동구 둔촌동 ‘올림픽파크포레온’(옛 둔촌주공)이 다음달 27일 입주를 앞두고 있지만, 전세가격이 하락하는 ‘입주장 효과’는 사라진 모습이다. 1만 2032가구가 입주하	"""'입주장 세일' 공식 깨졌다""…전세가 13억 찍은 매머드 단지 단군 이래 최대 재건축 규모의 아파트라는 서울 강동구 둔촌동 ‘올림픽파크포레온’(옛 둔촌주공)이 다음달 27일 입주를 앞두고 있지만, 전세가격이 하락하는 ‘입주장 효과’는 사라진 모습이다. 1만 2032가구가 입주하"	1	부정
"""집이 확 커졌어요""…'26억' 잠실 아파트에 '화들짝' [현장+]"	# 15일 서울 송파구 송파동 '잠실더샵루벤' 현장. 가을을 앞두고 뚝 떨어진 기온에 가랑비가 내리는 궂은 날씨에도 막바지 공사가 한창이었다. 외벽 도장 작업이 진행되면서 옛 아파트의 모습은 점차 사라지고 있었다.	"""집이 확 커졌어요""…'26억' 잠실 아파트에 '화들짝' [현장+] # 15일 서울 송파구 송파동 '잠실더샵루벤' 현장. 가을을 앞두고 뚝 떨어진 기온에 가랑비가 내리는 궂은 날씨에도 막바지 공사가 한창이었다. 외벽 도장 작업이 진행되면서 옛 아파트의 모습은 점차 사라지고 있었다."	-4	중립
"""서초 아파트 1채 팔면 도봉구 가서 16채 산다""…심각한 상황"	‘1422(강남·서초·송파구) vs 121(노원·도봉·강북구).’ 올해 1월부터 지난달까지 서울 지역별 아파트 거래 신고가를 기록한 건수다. 강남 3구는 1422건의 신고가 거래가 쏟아졌지만 외곽 지역인 노원·도봉·	"""서초 아파트 1채 팔면 도봉구 가서 16채 산다""…심각한 상황 ‘1422(강남·서초·송파구) vs 121(노원·도봉·강북구).’ 올해 1월부터 지난달까지 서울 지역별 아파트 거래 신고가를 기록한 건수다. 강남 3구는 1422건의 신고가 거래가 쏟아졌지만 외곽 지역인 노원·도봉·"	-7	중립입니다.
13평 아파트가 23억에 나왔다고?…그래도 사겠다 울리는 전화통 [부동산360]	단군 이래 최대 재건축 사업지인 서울 강동구 둔촌동 올림픽파크포레온(둔촌주공 재건축)이 입주를 한달 여 앞두고 비교적 가격 접근성이 높은 소형평형 문의가 늘고 있다. 다만 분양권은 실거주 의무가 적용돼 거래가 안되고	13평 아파트가 23억에 나왔다고?…그래도 사겠다 울리는 전화통 [부동산360] 단군 이래 최대 재건축 사업지인 서울 강동구 둔촌동 올림픽파크포레온(둔촌주공 재건축)이 입주를 한달 여 앞두고 비교적 가격 접근성이 높은 소형평형 문의가 늘고 있다. 다만 분양권은 실거주 의무가 적용돼 거래가 안되고	0	부정입니다.
"""신축 같아요"" 첫 수직증축 리모델링 '92년생 송파성지'"	서울 지하철 8호선 송파역 2번 출구를 나와 5분가량 걸으면 막바지 공사가 한창인 건설현장에 도착한다. 서울 송파구 송파동의 송파 성지아파트를 리모델링하는 '잠실 더샵 루벤'이다. 기존 골조를 유지한 15층까지는 모	"""신축 같아요"" 첫 수직증축 리모델링 '92년생 송파성지' 서울 지하철 8호선 송파역 2번 출구를 나와 5분가량 걸으면 막바지 공사가 한창인 건설현장에 도착한다. 서울 송파구 송파동의 송파 성지아파트를 리모델링하는 '잠실 더샵 루벤'이다. 기존 골조를 유지한 15층까지는 모"	0	중립입니다.
“요즘 뜯어고치는 게 대세”…목동·송파 낡은 단지들, 새 아파트로 변신중	목동 우성 구청 건축심의 통과 수평 별동 증축 29가구 늘려 한신청구·현대도 리모델링 추진 국내 첫 수직증축 송파 루벤 3월 입주 앞두고 공사 속도 서울 송파구와 양천구의 리모델링 추진 단지들이 사업에 속도를 내고	“요즘 뜯어고치는 게 대세”…목동·송파 낡은 단지들, 새 아파트로 변신중 목동 우성 구청 건축심의 통과 수평 별동 증축 29가구 늘려 한신청구·현대도 리모델링 추진 국내 첫 수직증축 송파 루벤 3월 입주 앞두고 공사 속도 서울 송파구와 양천구의 리모델링 추진 단지들이 사업에 속도를 내고	-1	긍정입니다.
대출 조였더니…'반포 대장 아파트' 한 달 만에 10억 빠졌다	지난달 스트레스 총부채원리금상환비율(DSR) 2단계 규제가 시행되자 서울 집값 상승폭이 축소됐다. 15일 한국부동산원이 발표한 9월 전국주택가격동향조사에 따르면 지난달 서울 집값은 0.54% 상승하며 전월(0.83%	대출 조였더니…'반포 대장 아파트' 한 달 만에 10억 빠졌다 지난달 스트레스 총부채원리금상환비율(DSR) 2단계 규제가 시행되자 서울 집값 상승폭이 축소됐다. 15일 한국부동산원이 발표한 9월 전국주택가격동향조사에 따르면 지난달 서울 집값은 0.54% 상승하며 전월(0.83%	-3	긍정입니다.
"""오피스텔 월세가 쏠쏠하네""…신고가 속출하는 '이 동네'"	지난 3분기 서울 오피스텔 매매가격이 2년여 만에 상승 전환했다. 강남, 마포 등 일부 지역에선 신고가 거래가 잇따랐다. 금리 인하와 월세 상승으로 수익률 개선 기대가 높아지면서 매수세가 살아나고 있다는 분석이 나온	"""오피스텔 월세가 쏠쏠하네""…신고가 속출하는 '이 동네' 지난 3분기 서울 오피스텔 매매가격이 2년여 만에 상승 전환했다. 강남, 마포 등 일부 지역에선 신고가 거래가 잇따랐다. 금리 인하와 월세 상승으로 수익률 개선 기대가 높아지면서 매수세가 살아나고 있다는 분석이 나온"	7	긍정입니다.
"[단독] ""어차피 로또, 이젠 포기"" 청약광풍에도 통장 깬다"	"올해만 8월까지 37만개 줄어 당첨돼도 분양가 부담 크고 지방 미분양에 무용론 확산 ""청약을 해지할지 유지할지 고민이에요."" 최근 국내 최대 부동산 커뮤니티 '부동산스터디' 카페에 심심치 않게 올라오는 글들이다. 청"	"[단독] ""어차피 로또, 이젠 포기"" 청약광풍에도 통장 깬다 올해만 8월까지 37만개 줄어 당첨돼도 분양가 부담 크고 지방 미분양에 무용론 확산 ""청약을 해지할지 유지할지 고민이에요."" 최근 국내 최대 부동산 커뮤니티 '부동산스터디' 카페에 심심치 않게 올라오는 글들이다. 청"	-8	긍정입니다.
현대건설, 신반포2차 재건축 '무혈 입성' 채비 [현장]	서울 강남 한복판이자 한강변 재건축 아파트인 신반포2차의 시공사가 수의계약으로 전환되면서 현대건설의 무혈 입성 가능성이 높아졌다. 벌써 조합과 현대건설은 조합원들을 설득하기 위한 준비에 돌입했다. 일부 조합원들이 단	현대건설, 신반포2차 재건축 '무혈 입성' 채비 [현장] 서울 강남 한복판이자 한강변 재건축 아파트인 신반포2차의 시공사가 수의계약으로 전환되면서 현대건설의 무혈 입성 가능성이 높아졌다. 벌써 조합과 현대건설은 조합원들을 설득하기 위한 준비에 돌입했다. 일부 조합원들이 단	-4	긍정입니다.
"1만2000가구 '올림픽파크포레온' 사전점검서 커뮤니티·조경 ""호평""… 전셋값 '껑충'"	“공용공간, 기대 이상”, “고급 자재에 마감 불량” 반응 사전점검 후 전용 84㎡ 선호 매물 10억대로 올라 조합원·일반분양 전세 매물 가격 차도 형성 “중대 하자는 없었다.” “커뮤니티와 조경이 기대 이상이어서	"1만2000가구 '올림픽파크포레온' 사전점검서 커뮤니티·조경 ""호평""… 전셋값 '껑충' “공용공간, 기대 이상”, “고급 자재에 마감 불량” 반응 사전점검 후 전용 84㎡ 선호 매물 10억대로 올라 조합원·일반분양 전세 매물 가격 차도 형성 “중대 하자는 없었다.” “커뮤니티와 조경이 기대 이상이어서"	2	긍정입니다.
'5억 로또 한강뷰' 소문나더니…2만5000명 '우르르' 몰렸다	'한강뷰'를 누릴 수 있는 '5억 로또'로 주목받은 서울 동작구 수도방위사령부(수방사) 공공주택 일반공급 본청약이 공공분양 역대 최고 경쟁률을 기록했다. 16일 한국토지주택공사(LH)에 따르면 수방사 공공분양주택 2	'5억 로또 한강뷰' 소문나더니…2만5000명 '우르르' 몰렸다 '한강뷰'를 누릴 수 있는 '5억 로또'로 주목받은 서울 동작구 수도방위사령부(수방사) 공공주택 일반공급 본청약이 공공분양 역대 최고 경쟁률을 기록했다. 16일 한국토지주택공사(LH)에 따르면 수방사 공공분양주택 2	2	긍정입니다.
